param nf:= 100 ;
param nn:= 100 ;
param: E: d:=
 0 1 10
 0 10 10
 1 2 10
 1 11 10
 2 3 10
 2 12 10
 3 4 10
 3 13 10
 4 5 10
 4 14 10
 5 6 10
 5 15 10
 6 7 10
 6 16 10
 7 8 10
 7 17 10
 8 9 10
 8 18 10
 9 19 10
 10 11 10
 10 20 10
 11 12 10
 11 21 10
 12 13 10
 12 22 10
 13 14 10
 13 23 10
 14 15 10
 14 24 10
 15 16 10
 15 25 10
 16 17 10
 16 26 10
 17 18 10
 17 27 10
 18 19 10
 18 28 10
 19 29 10
 20 21 10
 20 30 10
 21 22 10
 21 31 10
 22 23 10
 22 32 10
 23 24 10
 23 33 10
 24 25 10
 24 34 10
 25 26 10
 25 35 10
 26 27 10
 26 36 10
 27 28 10
 27 37 10
 28 29 10
 28 38 10
 29 39 10
 30 31 10
 30 40 10
 31 32 10
 31 41 10
 32 33 10
 32 42 10
 33 34 10
 33 43 10
 34 35 10
 34 44 10
 35 36 10
 35 45 10
 36 37 10
 36 46 10
 37 38 10
 37 47 10
 38 39 10
 38 48 10
 39 49 10
 40 41 10
 40 50 10
 41 42 10
 41 51 10
 42 43 10
 42 52 10
 43 44 10
 43 53 10
 44 45 10
 44 54 10
 45 46 10
 45 55 10
 46 47 10
 46 56 10
 47 48 10
 47 57 10
 48 49 10
 48 58 10
 49 59 10
 50 51 10
 50 60 10
 51 52 10
 51 61 10
 52 53 10
 52 62 10
 53 54 10
 53 63 10
 54 55 10
 54 64 10
 55 56 10
 55 65 10
 56 57 10
 56 66 10
 57 58 10
 57 67 10
 58 59 10
 58 68 10
 59 69 10
 60 61 10
 60 70 10
 61 62 10
 61 71 10
 62 63 10
 62 72 10
 63 64 10
 63 73 10
 64 65 10
 64 74 10
 65 66 10
 65 75 10
 66 67 10
 66 76 10
 67 68 10
 67 77 10
 68 69 10
 68 78 10
 69 79 10
 70 71 10
 70 80 10
 71 72 10
 71 81 10
 72 73 10
 72 82 10
 73 74 10
 73 83 10
 74 75 10
 74 84 10
 75 76 10
 75 85 10
 76 77 10
 76 86 10
 77 78 10
 77 87 10
 78 79 10
 78 88 10
 79 89 10
 80 81 10
 80 90 10
 81 82 10
 81 91 10
 82 83 10
 82 92 10
 83 84 10
 83 93 10
 84 85 10
 84 94 10
 85 86 10
 85 95 10
 86 87 10
 86 96 10
 87 88 10
 87 97 10
 88 89 10
 88 98 10
 89 99 10
 90 91 10
 91 92 10
 92 93 10
 93 94 10
 94 95 10
 95 96 10
 96 97 10
 97 98 10
 98 99 10
 1 0 10
 10 0 10
 2 1 10
 11 1 10
 3 2 10
 12 2 10
 4 3 10
 13 3 10
 5 4 10
 14 4 10
 6 5 10
 15 5 10
 7 6 10
 16 6 10
 8 7 10
 17 7 10
 9 8 10
 18 8 10
 19 9 10
 11 10 10
 20 10 10
 12 11 10
 21 11 10
 13 12 10
 22 12 10
 14 13 10
 23 13 10
 15 14 10
 24 14 10
 16 15 10
 25 15 10
 17 16 10
 26 16 10
 18 17 10
 27 17 10
 19 18 10
 28 18 10
 29 19 10
 21 20 10
 30 20 10
 22 21 10
 31 21 10
 23 22 10
 32 22 10
 24 23 10
 33 23 10
 25 24 10
 34 24 10
 26 25 10
 35 25 10
 27 26 10
 36 26 10
 28 27 10
 37 27 10
 29 28 10
 38 28 10
 39 29 10
 31 30 10
 40 30 10
 32 31 10
 41 31 10
 33 32 10
 42 32 10
 34 33 10
 43 33 10
 35 34 10
 44 34 10
 36 35 10
 45 35 10
 37 36 10
 46 36 10
 38 37 10
 47 37 10
 39 38 10
 48 38 10
 49 39 10
 41 40 10
 50 40 10
 42 41 10
 51 41 10
 43 42 10
 52 42 10
 44 43 10
 53 43 10
 45 44 10
 54 44 10
 46 45 10
 55 45 10
 47 46 10
 56 46 10
 48 47 10
 57 47 10
 49 48 10
 58 48 10
 59 49 10
 51 50 10
 60 50 10
 52 51 10
 61 51 10
 53 52 10
 62 52 10
 54 53 10
 63 53 10
 55 54 10
 64 54 10
 56 55 10
 65 55 10
 57 56 10
 66 56 10
 58 57 10
 67 57 10
 59 58 10
 68 58 10
 69 59 10
 61 60 10
 70 60 10
 62 61 10
 71 61 10
 63 62 10
 72 62 10
 64 63 10
 73 63 10
 65 64 10
 74 64 10
 66 65 10
 75 65 10
 67 66 10
 76 66 10
 68 67 10
 77 67 10
 69 68 10
 78 68 10
 79 69 10
 71 70 10
 80 70 10
 72 71 10
 81 71 10
 73 72 10
 82 72 10
 74 73 10
 83 73 10
 75 74 10
 84 74 10
 76 75 10
 85 75 10
 77 76 10
 86 76 10
 78 77 10
 87 77 10
 79 78 10
 88 78 10
 89 79 10
 81 80 10
 90 80 10
 82 81 10
 91 81 10
 83 82 10
 92 82 10
 84 83 10
 93 83 10
 85 84 10
 94 84 10
 86 85 10
 95 85 10
 87 86 10
 96 86 10
 88 87 10
 97 87 10
 89 88 10
 98 88 10
 99 89 10
 91 90 10
 92 91 10
 93 92 10
 94 93 10
 95 94 10
 96 95 10
 97 96 10
 98 97 10
 99 98 10;
param s:=
0 41
1 50
2 6
3 68
4 46
5 7
6 27
7 11
8 53
9 30
10 70
11 7
12 15
13 80
14 7
15 74
16 6
17 5
18 17
19 53
20 69
21 73
22 71
23 23
24 74
25 81
26 47
27 70
28 8
29 7
30 26
31 87
32 54
33 40
34 74
35 46
36 31
37 89
38 31
39 73
40 67
41 43
42 57
43 77
44 15
45 53
46 96
47 19
48 53
49 85
50 97
51 73
52 43
53 44
54 63
55 58
56 11
57 60
58 85
59 7
60 89
61 82
62 87
63 36
64 49
65 44
66 59
67 21
68 14
69 7
70 98
71 16
72 31
73 50
74 10
75 57
76 70
77 17
78 70
79 90
80 45
81 48
82 19
83 22
84 29
85 29
86 62
87 23
88 36
89 18
90 68
91 78
92 40
93 88
94 79
95 86
96 6
97 99
98 71
99 50 ;
param e:=
0 19
1 83
2 9
3 12
4 74
5 64
6 4
7 55
8 8
9 11
10 54
11 72
12 28
13 74
14 73
15 50
16 28
17 71
18 37
19 18
20 15
21 39
22 87
23 13
24 73
25 24
26 12
27 91
28 72
29 79
30 63
31 68
