param nf:= 100 ;
param nn:= 32 ;
param: E: d:=
 0 1 10
 0 4 10
 1 2 10
 1 5 10
 2 3 10
 2 6 10
 3 7 10
 4 5 10
 4 8 10
 5 6 10
 5 9 10
 6 7 10
 6 10 10
 7 11 10
 8 9 10
 8 12 10
 9 10 10
 9 13 10
 10 11 10
 10 14 10
 11 15 10
 12 13 10
 13 14 10
 14 15 10
 16 17 10
 16 20 10
 17 18 10
 17 21 10
 18 19 10
 18 22 10
 19 23 10
 20 21 10
 20 24 10
 21 22 10
 21 25 10
 22 23 10
 22 26 10
 23 27 10
 24 25 10
 24 28 10
 25 26 10
 25 29 10
 26 27 10
 26 30 10
 27 31 10
 28 29 10
 29 30 10
 30 31 10
 1 0 10
 4 0 10
 2 1 10
 5 1 10
 3 2 10
 6 2 10
 7 3 10
 5 4 10
 8 4 10
 6 5 10
 9 5 10
 7 6 10
 10 6 10
 11 7 10
 9 8 10
 12 8 10
 10 9 10
 13 9 10
 11 10 10
 14 10 10
 15 11 10
 13 12 10
 14 13 10
 15 14 10
 17 16 10
 20 16 10
 18 17 10
 21 17 10
 19 18 10
 22 18 10
 23 19 10
 21 20 10
 24 20 10
 22 21 10
 25 21 10
 23 22 10
 26 22 10
 27 23 10
 25 24 10
 28 24 10
 26 25 10
 29 25 10
 27 26 10
 30 26 10
 31 27 10
 29 28 10
 30 29 10
 31 30 10
 12 16 10
 19 15 10;
param s:=
0 14
1 24
2 12
3 5
4 15
5 25
6 29
7 29
8 31
9 25
10 31
11 1
12 26
13 24
14 16
15 4
16 24
17 3
18 15
19 31
20 9
21 2
22 12
23 29
24 18
25 27
26 10
27 20
28 31
29 19
30 22
31 4
32 22
33 0
34 21
35 17
36 27
37 24
38 26
39 25
40 10
41 12
42 19
43 0
44 21
45 27
46 8
47 28
48 26
49 4
50 6
51 5
52 23
53 31
54 4
55 1
56 21
57 7
58 22
59 23
60 31
61 3
62 11
63 27
64 7
65 12
66 31
67 9
68 7
69 28
70 28
71 30
72 23
73 14
74 12
75 28
76 6
77 0
78 23
79 5
80 14
81 24
82 0
83 18
84 20
85 14
86 5
87 23
88 19
89 18
90 12
91 23
92 19
93 18
94 24
95 23
96 12
97 5
98 10
99 31 ;
param e:=
0 23
1 8
2 2
3 8
4 13
5 1
6 31
7 24
8 12
9 5
10 14
11 17
12 30
13 7
14 6
15 24
16 6
17 21
18 5
19 13
20 4
21 31
22 9
23 28
24 22
25 8
26 6
27 22
28 12
29 9
30 18
31 14
32 15
33 18
34 14
35 2
36 16
37 19
38 11
39 7
40 1
41 10
42 7
43 24
44 10
45 14
46 26
47 26
48 5
49 18
50 2
51 6
52 9
53 9
54 12
55 8
56 24
57 19
58 20
59 0
60 13
61 2
62 21
63 28
64 5
65 14
66 30
67 24
68 6
69 8
70 5
71 25
72 29
73 3
74 3
75 7
76 13
77 1
78 27
79 12
80 20
81 12
82 18
83 5
84 25
85 18
86 26
87 20
88 22
89 6
90 31
91 24
92 13
93 25
94 22
95 27
96 31
97 17
98 4
99 17 ;
param v_min:=
0 0 1 1		0 0 4 1		0 1 2 1		0 1 5 1		0 2 3 1		0 2 6 1		0 3 7 1		0 4 5 1		0 4 8 1		0 5 6 1		0 5 9 1		0 6 7 1		0 6 10 1		0 7 11 1		0 8 9 1		0 8 12 1		0 9 10 1		0 9 13 1		0 10 11 1		0 10 14 1		0 11 15 1		0 12 13 1		0 13 14 1		0 14 15 1		0 16 17 1		0 16 20 1		0 17 18 1		0 17 21 1		0 18 19 1		0 18 22 1		0 19 23 1		0 20 21 1		0 20 24 1		0 21 22 1		0 21 25 1		0 22 23 1		0 22 26 1		0 23 27 1		0 24 25 1		0 24 28 1		0 25 26 1		0 25 29 1		0 26 27 1		0 26 30 1		0 27 31 1		0 28 29 1		0 29 30 1		0 30 31 1		0 1 0 1		0 4 0 1		0 2 1 1		0 5 1 1		0 3 2 1		0 6 2 1		0 7 3 1		0 5 4 1		0 8 4 1		0 6 5 1		0 9 5 1		0 7 6 1		0 10 6 1		0 11 7 1		0 9 8 1		0 12 8 1		0 10 9 1		0 13 9 1		0 11 10 1		0 14 10 1		0 15 11 1		0 13 12 1		0 14 13 1		0 15 14 1		0 17 16 1		0 20 16 1		0 18 17 1		0 21 17 1		0 19 18 1		0 22 18 1		0 23 19 1		0 21 20 1		0 24 20 1		0 22 21 1		0 25 21 1		0 23 22 1		0 26 22 1		0 27 23 1		0 25 24 1		0 28 24 1		0 26 25 1		0 29 25 1		0 27 26 1		0 30 26 1		0 31 27 1		0 29 28 1		0 30 29 1		0 31 30 1		0 12 16 1		0 19 15 1		
1 0 1 1		1 0 4 1		1 1 2 1		1 1 5 1		1 2 3 1		1 2 6 1		1 3 7 1		1 4 5 1		1 4 8 1		1 5 6 1		1 5 9 1		1 6 7 1		1 6 10 1		1 7 11 1		1 8 9 1		1 8 12 1		1 9 10 1		1 9 13 1		1 10 11 1		1 10 14 1		1 11 15 1		1 12 13 1		1 13 14 1		1 14 15 1		1 16 17 1		1 16 20 1		1 17 18 1		1 17 21 1		1 18 19 1		1 18 22 1		1 19 23 1		1 20 21 1		1 20 24 1		1 21 22 1		1 21 25 1		1 22 23 1		1 22 26 1		1 23 27 1		1 24 25 1		1 24 28 1		1 25 26 1		1 25 29 1		1 26 27 1		1 26 30 1		1 27 31 1		1 28 29 1		1 29 30 1		1 30 31 1		1 1 0 1		1 4 0 1		1 2 1 1		1 5 1 1		1 3 2 1		1 6 2 1		1 7 3 1		1 5 4 1		1 8 4 1		1 6 5 1		1 9 5 1		1 7 6 1		1 10 6 1		1 11 7 1		1 9 8 1		1 12 8 1		1 10 9 1		1 13 9 1		1 11 10 1		1 14 10 1		1 15 11 1		1 13 12 1		1 14 13 1		1 15 14 1		1 17 16 1		1 20 16 1		1 18 17 1		1 21 17 1		1 19 18 1		1 22 18 1		1 23 19 1		1 21 20 1		1 24 20 1		1 22 21 1		1 25 21 1		1 23 22 1		1 26 22 1		1 27 23 1		1 25 24 1		1 28 24 1		1 26 25 1		1 29 25 1		1 27 26 1		1 30 26 1		1 31 27 1		1 29 28 1		1 30 29 1		1 31 30 1		1 12 16 1		1 19 15 1		
2 0 1 1		2 0 4 1		2 1 2 1		2 1 5 1		2 2 3 1		2 2 6 1		2 3 7 1		2 4 5 1		2 4 8 1		2 5 6 1		2 5 9 1		2 6 7 1		2 6 10 1		2 7 11 1		2 8 9 1		2 8 12 1		2 9 10 1		2 9 13 1		2 10 11 1		2 10 14 1		2 11 15 1		2 12 13 1		2 13 14 1		2 14 15 1		2 16 17 1		2 16 20 1		2 17 18 1		2 17 21 1		2 18 19 1		2 18 22 1		2 19 23 1		2 20 21 1		2 20 24 1		2 21 22 1		2 21 25 1		2 22 23 1		2 22 26 1		2 23 27 1		2 24 25 1		2 24 28 1		2 25 26 1		2 25 29 1		2 26 27 1		2 26 30 1		2 27 31 1		2 28 29 1		2 29 30 1		2 30 31 1		2 1 0 1		2 4 0 1		2 2 1 1		2 5 1 1		2 3 2 1		2 6 2 1		2 7 3 1		2 5 4 1		2 8 4 1		2 6 5 1		2 9 5 1		2 7 6 1		2 10 6 1		2 11 7 1		2 9 8 1		2 12 8 1		2 10 9 1		2 13 9 1		2 11 10 1		2 14 10 1		2 15 11 1		2 13 12 1		2 14 13 1		2 15 14 1		2 17 16 1		2 20 16 1		2 18 17 1		2 21 17 1		2 19 18 1		2 22 18 1		2 23 19 1		2 21 20 1		2 24 20 1		2 22 21 1		2 25 21 1		2 23 22 1		2 26 22 1		2 27 23 1		2 25 24 1		2 28 24 1		2 26 25 1		2 29 25 1		2 27 26 1		2 30 26 1		2 31 27 1		2 29 28 1		2 30 29 1		2 31 30 1		2 12 16 1		2 19 15 1		
