instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed
metroplex10nDr0nDe2,4.944836,0.360674,0.039554,0.400228,3084,3080,7712,7712
metroplex10nDr1nDe1,2.040100,0.414737,0.082178,0.496915,3510,3488,8598,8598
metroplex11nDr1nDe0,2.105263,0.442477,0.067364,0.509841,3340,3330,8200,8200
metroplex0nDr1nDe1,3.832080,0.673717,0.077875,0.751592,4452,4422,11099,11099
metroplex13nDr0nDe1,11.055138,0.358755,0.090253,0.449008,2538,2526,6140,6140
metroplex12nDr1nDe0,2.052632,0.775580,0.064487,0.840067,4510,4484,11408,11408
metroplex10nDr1nDe0,2.421053,0.776968,0.093284,0.870252,5532,5494,14402,14402
metroplex13nDr1nDe0,2.210526,0.147546,0.015821,0.163367,1242,1242,2640,2640
metroplex12nDr0nDe3,10.892231,0.891550,0.113937,1.005487,5164,5116,13008,13008
metroplex12nDr0nDe1,7.225564,0.893349,0.116957,1.010306,5152,5108,12996,12996
metroplex11nDr1nDe1,13.180155,0.774204,0.359072,1.133276,5050,5014,12666,12666
metroplex11nDr0nDe1,9.644110,0.937810,0.207212,1.145022,5786,5746,14907,14907
metroplex14nDr0nDe2,5.393484,0.267412,0.046335,0.313747,2712,2708,6761,6761
metroplex13nDr0nDe2,12.100251,0.739242,0.141781,0.881023,4750,4714,12054,12054
metroplex12nDr0nDe2,14.837093,1.296571,0.356934,1.653505,7220,7158,19234,19234
metroplex14nDr1nDe1,7.709273,0.455246,0.082636,0.537882,4026,4014,10466,10466
metroplex0nDr0nDe1,3.298246,1.622118,0.154102,1.776220,8710,8648,23436,23436
metroplex13nDr0nDe3,5.556391,1.112658,0.148039,1.260697,6852,6794,18130,18130
metroplex0nDr1nDe0,2.052632,1.505829,0.162623,1.668452,8176,8118,21849,21849
metroplex13nDr1nDe1,3.413534,0.858781,0.130683,0.989464,5528,5486,14364,14364
metroplex0nDr0nDe2,11.558897,1.958808,0.717739,2.676547,10364,10282,28433,28433
metroplex14nDr0nDe3,7.859649,1.217894,0.318672,1.536566,8820,8760,24389,24389
metroplex17nDr0nDe2,4.421053,0.817757,0.093186,0.910943,5734,5704,15279,15279
metroplex16nDr1nDe1,2.213033,1.297695,0.153763,1.451458,7936,7876,21154,21154
metroplex11nDr0nDe2,11.015038,2.856038,0.877914,3.733952,15476,15372,44662,44662
metroplex12nDr1nDe1,2.869674,2.986100,0.556005,3.542105,15394,15284,44541,44541
metroplex11nDr0nDe3,13.110276,2.927579,1.112338,4.039917,15482,15376,44668,44668
metroplex0nDr0nDe3,12.010025,2.764564,1.602144,4.366708,14342,14224,40587,40587
metroplex17nDr0nDe3,10.729323,0.293629,0.068336,0.361965,2740,2724,6720,6720
metroplex17nDr1nDe1,2.553885,0.414765,0.065503,0.480268,3516,3498,8944,8944
metroplex17nDr0nDe1,2.904762,1.544362,0.179400,1.723762,9844,9784,27674,27674
metroplex16nDr1nDe0,2.210526,1.970164,0.351729,2.321893,11454,11362,31843,31843
metroplex16nDr0nDe1,12.631579,2.617792,1.204282,3.822074,14212,14102,40366,40366
metroplex14nDr0nDe1,1.631579,3.458796,0.735858,4.194654,18834,18674,54297,54297
metroplex14nDr1nDe0,1.947368,3.103450,0.704346,3.807796,17268,17148,50062,50062
metroplex16nDr0nDe2,19.739348,2.541785,1.423503,3.965288,14218,14106,40372,40372
metroplex17nDr1nDe0,2.157895,1.410305,0.171177,1.581482,9256,9202,25869,25869
metroplex18nDr1nDe0,2.578947,1.302840,0.180607,1.483447,7686,7636,20936,20936
metroplex15nDr1nDe1,3.215539,3.401334,0.832168,4.233502,15486,15364,44054,44054
metroplex19nDr0nDe2,3.789474,0.267536,0.039813,0.307349,2382,2378,5657,5657
metroplex19nDr1nDe1,2.203008,0.389573,0.056833,0.446406,3258,3242,7840,7840
metroplex19nDr0nDe3,4.102757,0.635974,0.096701,0.732675,4784,4752,12110,12110
metroplex18nDr0nDe3,5.666667,1.853126,0.283477,2.136603,10406,10332,29261,29261
metroplex15nDr0nDe2,6.824561,4.129259,0.987905,5.117164,19148,18986,54982,54982
metroplex10nDr0nDe3,18.967419,3.493144,4.581667,8.074811,18494,18356,53666,53666
metroplex18nDr0nDe1,13.395990,2.166199,0.563127,2.729326,11156,11086,31614,31614
metroplex1nDr1nDe0,2.105263,0.477356,0.065426,0.542782,3952,3938,10096,10096
metroplex20nDr1nDe0,2.578947,0.132540,0.026694,0.159234,1254,1253,2755,2755
metroplex20nDr0nDe1,3.310777,0.568588,0.103692,0.672280,4244,4218,10750,10750
