param nf:= 15 ;
param nn:= 25 ;
param: E: d:=
 0 24 10
 0 1 10
 1 24 10
 1 2 10
 2 24 10
 2 3 10
 3 24 10
 3 4 10
 4 24 10
 4 5 10
 5 24 10
 5 6 10
 6 24 10
 6 7 10
 7 24 10
 7 8 10
 8 24 10
 8 9 10
 9 24 10
 9 10 10
 10 24 10
 10 11 10
 11 24 10
 11 12 10
 12 24 10
 12 13 10
 13 24 10
 13 14 10
 14 24 10
 14 15 10
 15 24 10
 15 16 10
 16 24 10
 16 17 10
 17 24 10
 17 18 10
 18 24 10
 18 19 10
 19 24 10
 19 20 10
 20 24 10
 20 21 10
 21 24 10
 21 22 10
 22 24 10
 22 23 10
 23 24 10
 23 0 10
 24 0 10
 1 0 10
 24 1 10
 2 1 10
 24 2 10
 3 2 10
 24 3 10
 4 3 10
 24 4 10
 5 4 10
 24 5 10
 6 5 10
 24 6 10
 7 6 10
 24 7 10
 8 7 10
 24 8 10
 9 8 10
 24 9 10
 10 9 10
 24 10 10
 11 10 10
 24 11 10
 12 11 10
 24 12 10
 13 12 10
 24 13 10
 14 13 10
 24 14 10
 15 14 10
 24 15 10
 16 15 10
 24 16 10
 17 16 10
 24 17 10
 18 17 10
 24 18 10
 19 18 10
 24 19 10
 20 19 10
 24 20 10
 21 20 10
 24 21 10
 22 21 10
 24 22 10
 23 22 10
 24 23 10
 0 23 10;
param s:=
0 12
1 13
2 8
3 15
4 9
5 11
6 6
7 4
8 4
9 3
10 8
11 22
12 4
13 3
14 2 ;
param e:=
0 24
1 1
2 16
3 12
4 15
5 18
6 16
7 9
8 24
9 19
10 17
11 19
12 9
13 23
14 21 ;
param v_min:=
