param nf:= 100 ;
param nn:= 36 ;
param: E: d:=
 0 35 10
 0 1 10
 1 35 10
 1 2 10
 2 35 10
 2 3 10
 3 35 10
 3 4 10
 4 35 10
 4 5 10
 5 35 10
 5 6 10
 6 35 10
 6 7 10
 7 35 10
 7 8 10
 8 35 10
 8 9 10
 9 35 10
 9 10 10
 10 35 10
 10 11 10
 11 35 10
 11 12 10
 12 35 10
 12 13 10
 13 35 10
 13 14 10
 14 35 10
 14 15 10
 15 35 10
 15 16 10
 16 35 10
 16 17 10
 17 35 10
 17 18 10
 18 35 10
 18 19 10
 19 35 10
 19 20 10
 20 35 10
 20 21 10
 21 35 10
 21 22 10
 22 35 10
 22 23 10
 23 35 10
 23 24 10
 24 35 10
 24 25 10
 25 35 10
 25 26 10
 26 35 10
 26 27 10
 27 35 10
 27 28 10
 28 35 10
 28 29 10
 29 35 10
 29 30 10
 30 35 10
 30 31 10
 31 35 10
 31 32 10
 32 35 10
 32 33 10
 33 35 10
 33 34 10
 34 35 10
 34 0 10
 35 0 10
 1 0 10
 35 1 10
 2 1 10
 35 2 10
 3 2 10
 35 3 10
 4 3 10
 35 4 10
 5 4 10
 35 5 10
 6 5 10
 35 6 10
 7 6 10
 35 7 10
 8 7 10
 35 8 10
 9 8 10
 35 9 10
 10 9 10
 35 10 10
 11 10 10
 35 11 10
 12 11 10
 35 12 10
 13 12 10
 35 13 10
 14 13 10
 35 14 10
 15 14 10
 35 15 10
 16 15 10
 35 16 10
 17 16 10
 35 17 10
 18 17 10
 35 18 10
 19 18 10
 35 19 10
 20 19 10
 35 20 10
 21 20 10
 35 21 10
 22 21 10
 35 22 10
 23 22 10
 35 23 10
 24 23 10
 35 24 10
 25 24 10
 35 25 10
 26 25 10
 35 26 10
 27 26 10
 35 27 10
 28 27 10
 35 28 10
 29 28 10
 35 29 10
 30 29 10
 35 30 10
 31 30 10
 35 31 10
 32 31 10
 35 32 10
 33 32 10
 35 33 10
 34 33 10
 35 34 10
 0 34 10;
param s:=
0 20
1 25
2 4
3 6
4 3
5 13
6 5
7 26
8 15
9 35
10 3
11 14
12 25
13 14
14 35
15 18
16 9
17 7
18 35
19 6
20 23
21 35
22 3
23 31
24 27
25 29
26 19
27 11
28 5
29 33
30 21
31 18
32 7
33 26
34 21
35 31
36 2
37 35
