param nf:= 100 ;
param nn:= 50 ;
param: E: d:=
 0 1 10
 0 5 10
 1 2 10
 1 6 10
 2 3 10
 2 7 10
 3 4 10
 3 8 10
 4 9 10
 5 6 10
 5 10 10
 6 7 10
 6 11 10
 7 8 10
 7 12 10
 8 9 10
 8 13 10
 9 14 10
 10 11 10
 10 15 10
 11 12 10
 11 16 10
 12 13 10
 12 17 10
 13 14 10
 13 18 10
 14 19 10
 15 16 10
 15 20 10
 16 17 10
 16 21 10
 17 18 10
 17 22 10
 18 19 10
 18 23 10
 19 24 10
 20 21 10
 21 22 10
 22 23 10
 23 24 10
 25 26 10
 25 30 10
 26 27 10
 26 31 10
 27 28 10
 27 32 10
 28 29 10
 28 33 10
 29 34 10
 30 31 10
 30 35 10
 31 32 10
 31 36 10
 32 33 10
 32 37 10
 33 34 10
 33 38 10
 34 39 10
 35 36 10
 35 40 10
 36 37 10
 36 41 10
 37 38 10
 37 42 10
 38 39 10
 38 43 10
 39 44 10
 40 41 10
 40 45 10
 41 42 10
 41 46 10
 42 43 10
 42 47 10
 43 44 10
 43 48 10
 44 49 10
 45 46 10
 46 47 10
 47 48 10
 48 49 10
 1 0 10
 5 0 10
 2 1 10
 6 1 10
 3 2 10
 7 2 10
 4 3 10
 8 3 10
 9 4 10
 6 5 10
 10 5 10
 7 6 10
 11 6 10
 8 7 10
 12 7 10
 9 8 10
 13 8 10
 14 9 10
 11 10 10
 15 10 10
 12 11 10
 16 11 10
 13 12 10
 17 12 10
 14 13 10
 18 13 10
 19 14 10
 16 15 10
 20 15 10
 17 16 10
 21 16 10
 18 17 10
 22 17 10
 19 18 10
 23 18 10
 24 19 10
 21 20 10
 22 21 10
 23 22 10
 24 23 10
 26 25 10
 30 25 10
 27 26 10
 31 26 10
 28 27 10
 32 27 10
 29 28 10
 33 28 10
 34 29 10
 31 30 10
 35 30 10
 32 31 10
 36 31 10
 33 32 10
 37 32 10
 34 33 10
 38 33 10
 39 34 10
 36 35 10
 40 35 10
 37 36 10
 41 36 10
 38 37 10
 42 37 10
 39 38 10
 43 38 10
 44 39 10
 41 40 10
 45 40 10
 42 41 10
 46 41 10
 43 42 10
 47 42 10
 44 43 10
 48 43 10
 49 44 10
 46 45 10
 47 46 10
 48 47 10
 49 48 10
 20 25 10
 29 24 10;
param s:=
0 39
1 47
2 44
3 41
4 1
5 49
6 41
7 10
8 23
9 15
10 34
11 36
12 0
13 13
14 17
15 49
16 10
17 4
18 39
19 8
20 0
21 49
22 10
23 20
24 34
25 40
26 11
27 12
28 19
29 23
30 10
31 16
32 21
33 38
34 0
35 43
36 21
37 19
38 19
39 44
40 11
41 30
42 11
43 16
44 47
45 25
46 35
47 23
48 37
49 28
50 45
51 39
52 7
53 15
54 22
55 22
56 16
57 29
58 37
59 49
60 18
61 27
62 13
63 32
64 23
65 21
66 44
67 5
68 43
69 19
70 5
71 9
72 44
73 30
74 46
75 5
76 34
77 2
78 47
79 22
80 29
81 26
82 3
83 2
84 21
85 8
86 36
87 40
88 6
89 27
90 9
91 26
92 9
93 39
94 33
95 31
96 46
97 30
98 18
99 25 ;
param e:=
0 16
1 22
2 47
3 33
4 29
5 15
6 3
7 7
8 30
9 24
10 6
11 15
12 46
13 26
14 11
15 24
16 48
17 8
18 28
19 0
20 13
21 13
22 18
23 12
24 43
25 13
26 44
27 24
28 1
29 26
30 9
31 4
32 19
33 37
34 38
35 45
36 4
37 22
38 30
39 20
40 30
41 45
42 3
43 1
44 22
45 1
46 26
47 24
48 0
49 2
50 11
51 12
52 48
53 29
54 32
55 33
56 49
57 6
58 47
59 23
60 2
61 5
62 21
63 39
64 9
65 17
66 34
67 19
68 20
69 11
70 40
71 46
72 19
73 10
74 3
75 38
76 25
77 15
78 38
79 16
80 41
81 9
82 40
83 31
84 13
85 46
86 8
87 26
88 10
89 23
90 3
91 18
92 29
93 10
94 29
95 44
96 20
97 17
98 30
99 9 ;
param v_min:=
0 0 1 1		0 0 5 1		0 1 2 1		0 1 6 1		0 2 3 1		0 2 7 1		0 3 4 1		0 3 8 1		0 4 9 1		0 5 6 1		0 5 10 1		0 6 7 1		0 6 11 1		0 7 8 1		0 7 12 1		0 8 9 1		0 8 13 1		0 9 14 1		0 10 11 1		0 10 15 1		0 11 12 1		0 11 16 1		0 12 13 1		0 12 17 1		0 13 14 1		0 13 18 1		0 14 19 1		0 15 16 1		0 15 20 1		0 16 17 1		0 16 21 1		0 17 18 1		0 17 22 1		0 18 19 1		0 18 23 1		0 19 24 1		0 20 21 1		0 21 22 1		0 22 23 1		0 23 24 1		0 25 26 1		0 25 30 1		0 26 27 1		0 26 31 1		0 27 28 1		0 27 32 1		0 28 29 1		0 28 33 1		0 29 34 1		0 30 31 1		0 30 35 1		0 31 32 1		0 31 36 1		0 32 33 1		0 32 37 1		0 33 34 1		0 33 38 1		0 34 39 1		0 35 36 1		0 35 40 1		0 36 37 1		0 36 41 1		0 37 38 1		0 37 42 1		0 38 39 1		0 38 43 1		0 39 44 1		0 40 41 1		0 40 45 1		0 41 42 1		0 41 46 1		0 42 43 1		0 42 47 1		0 43 44 1		0 43 48 1		0 44 49 1		0 45 46 1		0 46 47 1		0 47 48 1		0 48 49 1		0 1 0 1		0 5 0 1		0 2 1 1		0 6 1 1		0 3 2 1		0 7 2 1		0 4 3 1		0 8 3 1		0 9 4 1		0 6 5 1		0 10 5 1		0 7 6 1		0 11 6 1		0 8 7 1		0 12 7 1		0 9 8 1		0 13 8 1		0 14 9 1		0 11 10 1		0 15 10 1		0 12 11 1		0 16 11 1		0 13 12 1		0 17 12 1		0 14 13 1		0 18 13 1		0 19 14 1		0 16 15 1		0 20 15 1		0 17 16 1		0 21 16 1		0 18 17 1		0 22 17 1		0 19 18 1		0 23 18 1		0 24 19 1		0 21 20 1		0 22 21 1		0 23 22 1		0 24 23 1		0 26 25 1		0 30 25 1		0 27 26 1		0 31 26 1		0 28 27 1		0 32 27 1		0 29 28 1		0 33 28 1		0 34 29 1		0 31 30 1		0 35 30 1		0 32 31 1		0 36 31 1		0 33 32 1		0 37 32 1		0 34 33 1		0 38 33 1		0 39 34 1		0 36 35 1		0 40 35 1		0 37 36 1		0 41 36 1		0 38 37 1		0 42 37 1		0 39 38 1		0 43 38 1		0 44 39 1		0 41 40 1		0 45 40 1		0 42 41 1		0 46 41 1		0 43 42 1		0 47 42 1		0 44 43 1		0 48 43 1		0 49 44 1		0 46 45 1		0 47 46 1		0 48 47 1		0 49 48 1		0 20 25 1		0 29 24 1		
1 0 1 1		1 0 5 1		1 1 2 1		1 1 6 1		1 2 3 1		1 2 7 1		1 3 4 1		1 3 8 1		1 4 9 1		1 5 6 1		1 5 10 1		1 6 7 1		1 6 11 1		1 7 8 1		1 7 12 1		1 8 9 1		1 8 13 1		1 9 14 1		1 10 11 1		1 10 15 1		1 11 12 1		1 11 16 1		1 12 13 1		1 12 17 1		1 13 14 1		1 13 18 1		1 14 19 1		1 15 16 1		1 15 20 1		1 16 17 1		1 16 21 1		1 17 18 1		1 17 22 1		1 18 19 1		1 18 23 1		1 19 24 1		1 20 21 1		1 21 22 1		1 22 23 1		1 23 24 1		1 25 26 1		1 25 30 1		1 26 27 1		1 26 31 1		1 27 28 1		1 27 32 1		1 28 29 1		1 28 33 1		1 29 34 1		1 30 31 1		1 30 35 1		1 31 32 1		1 31 36 1		1 32 33 1		1 32 37 1		1 33 34 1		1 33 38 1		1 34 39 1		1 35 36 1		1 35 40 1		1 36 37 1		1 36 41 1		1 37 38 1		1 37 42 1		1 38 39 1		1 38 43 1		1 39 44 1		1 40 41 1		1 40 45 1		1 41 42 1		1 41 46 1		1 42 43 1		1 42 47 1		1 43 44 1		1 43 48 1		1 44 49 1		1 45 46 1		1 46 47 1		1 47 48 1		1 48 49 1		1 1 0 1		1 5 0 1		1 2 1 1		1 6 1 1		1 3 2 1		1 7 2 1		1 4 3 1		1 8 3 1		1 9 4 1		1 6 5 1		1 10 5 1		1 7 6 1		1 11 6 1		1 8 7 1		1 12 7 1		1 9 8 1		1 13 8 1		1 14 9 1		1 11 10 1		1 15 10 1		1 12 11 1		1 16 11 1		1 13 12 1		1 17 12 1		1 14 13 1		1 18 13 1		1 19 14 1		1 16 15 1		1 20 15 1		1 17 16 1		1 21 16 1		1 18 17 1		1 22 17 1		1 19 18 1		1 23 18 1		1 24 19 1		1 21 20 1		1 22 21 1		1 23 22 1		1 24 23 1		1 26 25 1		1 30 25 1		1 27 26 1		1 31 26 1		1 28 27 1		1 32 27 1		1 29 28 1		1 33 28 1		1 34 29 1		1 31 30 1		1 35 30 1		1 32 31 1		1 36 31 1		1 33 32 1		1 37 32 1		1 34 33 1		1 38 33 1		1 39 34 1		1 36 35 1		1 40 35 1		1 37 36 1		1 41 36 1		1 38 37 1		1 42 37 1		1 39 38 1		1 43 38 1		1 44 39 1		1 41 40 1		1 45 40 1		1 42 41 1		1 46 41 1		1 43 42 1		1 47 42 1		1 44 43 1		1 48 43 1		1 49 44 1		1 46 45 1		1 47 46 1		1 48 47 1		1 49 48 1		1 20 25 1		1 29 24 1		
