param nf:= 100 ;
param nn:= 25 ;
param: E: d:=
 0 24 10
 0 1 10
 1 24 10
 1 2 10
 2 24 10
 2 3 10
 3 24 10
 3 4 10
 4 24 10
 4 5 10
 5 24 10
 5 6 10
 6 24 10
 6 7 10
 7 24 10
 7 8 10
 8 24 10
 8 9 10
 9 24 10
 9 10 10
 10 24 10
 10 11 10
 11 24 10
 11 12 10
 12 24 10
 12 13 10
 13 24 10
 13 14 10
 14 24 10
 14 15 10
 15 24 10
 15 16 10
 16 24 10
 16 17 10
 17 24 10
 17 18 10
 18 24 10
 18 19 10
 19 24 10
 19 20 10
 20 24 10
 20 21 10
 21 24 10
 21 22 10
 22 24 10
 22 23 10
 23 24 10
 23 0 10
 24 0 10
 1 0 10
 24 1 10
 2 1 10
 24 2 10
 3 2 10
 24 3 10
 4 3 10
 24 4 10
 5 4 10
 24 5 10
 6 5 10
 24 6 10
 7 6 10
 24 7 10
 8 7 10
 24 8 10
 9 8 10
 24 9 10
 10 9 10
 24 10 10
 11 10 10
 24 11 10
 12 11 10
 24 12 10
 13 12 10
 24 13 10
 14 13 10
 24 14 10
 15 14 10
 24 15 10
 16 15 10
 24 16 10
 17 16 10
 24 17 10
 18 17 10
 24 18 10
 19 18 10
 24 19 10
 20 19 10
 24 20 10
 21 20 10
 24 21 10
 22 21 10
 24 22 10
 23 22 10
 24 23 10
 0 23 10;
param s:=
0 16
1 9
2 9
3 24
4 22
5 21
6 3
7 7
8 23
9 8
10 10
11 21
12 12
13 17
14 4
15 4
16 17
17 6
18 17
19 22
20 2
21 13
22 16
23 20
24 4
25 13
26 10
27 13
28 18
29 24
30 11
31 15
32 18
33 0
34 7
35 17
36 7
37 11
38 8
39 8
40 23
41 17
42 8
43 9
44 10
45 10
46 18
47 10
48 1
49 11
50 14
51 8
52 20
53 23
54 9
55 2
56 22
57 0
58 18
59 21
60 12
61 23
62 12
63 6
64 4
65 3
66 1
67 9
68 10
69 5
70 2
71 24
72 8
73 12
74 2
75 2
76 20
77 7
78 8
79 5
80 1
81 15
82 12
83 7
84 13
85 20
86 2
87 24
88 7
89 10
90 11
91 0
92 18
93 13
94 10
95 5
96 7
97 10
98 5
99 6 ;
param e:=
0 13
1 11
2 5
3 22
4 17
5 8
6 0
7 12
8 13
9 16
10 20
11 23
12 4
13 1
14 6
15 22
16 21
17 10
18 3
19 20
20 9
21 2
22 15
23 19
24 21
25 16
26 0
27 11
28 1
29 23
30 1
31 11
32 24
33 12
34 3
35 6
36 16
37 1
38 2
39 6
40 19
41 4
42 21
43 11
44 5
45 3
46 8
47 0
48 24
49 0
50 23
51 15
52 1
53 6
54 8
55 23
56 15
57 19
58 16
59 4
60 15
61 18
62 5
63 8
64 21
65 6
66 17
67 10
68 1
69 13
70 22
71 9
72 21
73 15
74 17
75 17
76 7
77 17
78 18
79 9
80 23
81 18
82 15
83 17
84 16
85 14
86 14
87 6
88 15
89 6
90 19
91 23
92 16
93 1
94 18
95 17
96 19
97 11
98 24
99 9 ;
param v_min:=
