param nf:= 100 ;
param nn:= 18 ;
param: E: d:=
 0 1 10
 0 3 10
 1 2 10
 1 4 10
 2 5 10
 3 4 10
 3 6 10
 4 5 10
 4 7 10
 5 8 10
 6 7 10
 7 8 10
 9 10 10
 9 12 10
 10 11 10
 10 13 10
 11 14 10
 12 13 10
 12 15 10
 13 14 10
 13 16 10
 14 17 10
 15 16 10
 16 17 10
 1 0 10
 3 0 10
 2 1 10
 4 1 10
 5 2 10
 4 3 10
 6 3 10
 5 4 10
 7 4 10
 8 5 10
 7 6 10
 8 7 10
 10 9 10
 12 9 10
 11 10 10
 13 10 10
 14 11 10
 13 12 10
 15 12 10
 14 13 10
 16 13 10
 17 14 10
 16 15 10
 17 16 10
 6 9 10
 11 8 10;
param s:=
0 5
1 14
2 7
3 15
4 15
5 14
6 6
7 3
8 16
9 7
10 7
11 11
12 6
13 6
14 8
15 10
16 7
17 17
18 16
19 8
20 17
21 9
22 16
23 15
24 6
25 4
26 16
27 3
28 8
29 10
30 15
31 15
32 15
33 15
34 7
35 17
36 6
37 17
38 0
39 2
40 12
41 12
42 4
43 12
44 4
45 10
46 4
47 17
48 13
49 5
50 0
51 17
52 17
53 0
54 13
55 15
56 15
57 4
58 5
59 9
60 1
61 11
62 5
63 4
64 8
65 5
66 4
67 3
68 2
69 10
70 8
71 5
72 13
73 13
74 0
75 13
76 8
77 8
78 6
79 5
80 4
81 2
82 10
83 17
84 16
85 7
86 14
87 5
88 7
89 17
90 16
91 12
92 14
93 16
94 6
95 2
96 11
97 0
98 6
99 17 ;
param e:=
0 3
1 10
2 6
3 5
4 9
5 8
6 8
7 10
8 5
9 5
10 6
11 16
12 15
13 9
14 0
15 12
16 12
17 11
18 8
19 9
20 3
21 15
22 4
23 5
24 13
25 13
26 15
27 6
28 17
29 17
30 2
31 4
32 4
33 2
34 2
35 11
36 12
37 16
38 4
39 15
40 5
41 13
42 8
43 11
44 10
45 9
46 13
47 0
48 4
49 13
50 16
51 14
52 3
53 8
54 12
55 17
56 13
57 7
58 11
59 15
60 2
61 17
62 16
63 6
64 2
65 7
66 9
67 11
68 11
69 2
70 11
71 12
72 16
73 16
74 8
75 1
76 12
77 2
78 9
79 11
80 14
81 3
82 8
83 14
84 2
85 2
86 10
87 2
88 11
89 15
90 12
91 9
92 0
93 6
94 0
95 12
96 2
97 8
98 7
99 4 ;
param v_min:=
0 0 1 1		0 0 3 1		0 1 2 1		0 1 4 1		0 2 5 1		0 3 4 1		0 3 6 1		0 4 5 1		0 4 7 1		0 5 8 1		0 6 7 1		0 7 8 1		0 9 10 1		0 9 12 1		0 10 11 1		0 10 13 1		0 11 14 1		0 12 13 1		0 12 15 1		0 13 14 1		0 13 16 1		0 14 17 1		0 15 16 1		0 16 17 1		0 1 0 1		0 3 0 1		0 2 1 1		0 4 1 1		0 5 2 1		0 4 3 1		0 6 3 1		0 5 4 1		0 7 4 1		0 8 5 1		0 7 6 1		0 8 7 1		0 10 9 1		0 12 9 1		0 11 10 1		0 13 10 1		0 14 11 1		0 13 12 1		0 15 12 1		0 14 13 1		0 16 13 1		0 17 14 1		0 16 15 1		0 17 16 1		0 6 9 1		0 11 8 1		
1 0 1 1		1 0 3 1		1 1 2 1		1 1 4 1		1 2 5 1		1 3 4 1		1 3 6 1		1 4 5 1		1 4 7 1		1 5 8 1		1 6 7 1		1 7 8 1		1 9 10 1		1 9 12 1		1 10 11 1		1 10 13 1		1 11 14 1		1 12 13 1		1 12 15 1		1 13 14 1		1 13 16 1		1 14 17 1		1 15 16 1		1 16 17 1		1 1 0 1		1 3 0 1		1 2 1 1		1 4 1 1		1 5 2 1		1 4 3 1		1 6 3 1		1 5 4 1		1 7 4 1		1 8 5 1		1 7 6 1		1 8 7 1		1 10 9 1		1 12 9 1		1 11 10 1		1 13 10 1		1 14 11 1		1 13 12 1		1 15 12 1		1 14 13 1		1 16 13 1		1 17 14 1		1 16 15 1		1 17 16 1		1 6 9 1		1 11 8 1		
2 0 1 1		2 0 3 1		2 1 2 1		2 1 4 1		2 2 5 1		2 3 4 1		2 3 6 1		2 4 5 1		2 4 7 1		2 5 8 1		2 6 7 1		2 7 8 1		2 9 10 1		2 9 12 1		2 10 11 1		2 10 13 1		2 11 14 1		2 12 13 1		2 12 15 1		2 13 14 1		2 13 16 1		2 14 17 1		2 15 16 1		2 16 17 1		2 1 0 1		2 3 0 1		2 2 1 1		2 4 1 1		2 5 2 1		2 4 3 1		2 6 3 1		2 5 4 1		2 7 4 1		2 8 5 1		2 7 6 1		2 8 7 1		2 10 9 1		2 12 9 1		2 11 10 1		2 13 10 1		2 14 11 1		2 13 12 1		2 15 12 1		2 14 13 1		2 16 13 1		2 17 14 1		2 16 15 1		2 17 16 1		2 6 9 1		2 11 8 1		
3 0 1 1		3 0 3 1		3 1 2 1		3 1 4 1		3 2 5 1		3 3 4 1		3 3 6 1		3 4 5 1		3 4 7 1		3 5 8 1		3 6 7 1		3 7 8 1		3 9 10 1		3 9 12 1		3 10 11 1		3 10 13 1		3 11 14 1		3 12 13 1		3 12 15 1		3 13 14 1		3 13 16 1		3 14 17 1		3 15 16 1		3 16 17 1		3 1 0 1		3 3 0 1		3 2 1 1		3 4 1 1		3 5 2 1		3 4 3 1		3 6 3 1		3 5 4 1		3 7 4 1		3 8 5 1		3 7 6 1		3 8 7 1		3 10 9 1		3 12 9 1		3 11 10 1		3 13 10 1		3 14 11 1		3 13 12 1		3 15 12 1		3 14 13 1		3 16 13 1		3 17 14 1		3 16 15 1		3 17 16 1		3 6 9 1		3 11 8 1		
4 0 1 1		4 0 3 1		4 1 2 1		4 1 4 1		4 2 5 1		4 3 4 1		4 3 6 1		4 4 5 1		4 4 7 1		4 5 8 1		4 6 7 1		4 7 8 1		4 9 10 1		4 9 12 1		4 10 11 1		4 10 13 1		4 11 14 1		4 12 13 1		4 12 15 1		4 13 14 1		4 13 16 1		4 14 17 1		4 15 16 1		4 16 17 1		4 1 0 1		4 3 0 1		4 2 1 1		4 4 1 1		4 5 2 1		4 4 3 1		4 6 3 1		4 5 4 1		4 7 4 1		4 8 5 1		4 7 6 1		4 8 7 1		4 10 9 1		4 12 9 1		4 11 10 1		4 13 10 1		4 14 11 1		4 13 12 1		4 15 12 1		4 14 13 1		4 16 13 1		4 17 14 1		4 16 15 1		4 17 16 1		4 6 9 1		4 11 8 1		
5 0 1 1		5 0 3 1		5 1 2 1		5 1 4 1		5 2 5 1		5 3 4 1		5 3 6 1		5 4 5 1		5 4 7 1		5 5 8 1		5 6 7 1		5 7 8 1		5 9 10 1		5 9 12 1		5 10 11 1		5 10 13 1		5 11 14 1		5 12 13 1		5 12 15 1		5 13 14 1		5 13 16 1		5 14 17 1		5 15 16 1		5 16 17 1		5 1 0 1		5 3 0 1		5 2 1 1		5 4 1 1		5 5 2 1		5 4 3 1		5 6 3 1		5 5 4 1		5 7 4 1		5 8 5 1		5 7 6 1		5 8 7 1		5 10 9 1		5 12 9 1		5 11 10 1		5 13 10 1		5 14 11 1		5 13 12 1		5 15 12 1		5 14 13 1		5 16 13 1		5 17 14 1		5 16 15 1		5 17 16 1		5 6 9 1		5 11 8 1		
6 0 1 1		6 0 3 1		6 1 2 1		6 1 4 1		6 2 5 1		6 3 4 1		6 3 6 1		6 4 5 1		6 4 7 1		6 5 8 1		6 6 7 1		6 7 8 1		6 9 10 1		6 9 12 1		6 10 11 1		6 10 13 1		6 11 14 1		6 12 13 1		6 12 15 1		6 13 14 1		6 13 16 1		6 14 17 1		6 15 16 1		6 16 17 1		6 1 0 1		6 3 0 1		6 2 1 1		6 4 1 1		6 5 2 1		6 4 3 1		6 6 3 1		6 5 4 1		6 7 4 1		6 8 5 1		6 7 6 1		6 8 7 1		6 10 9 1		6 12 9 1		6 11 10 1		6 13 10 1		6 14 11 1		6 13 12 1		6 15 12 1		6 14 13 1		6 16 13 1		6 17 14 1		6 16 15 1		6 17 16 1		6 6 9 1		6 11 8 1		
7 0 1 1		7 0 3 1		7 1 2 1		7 1 4 1		7 2 5 1		7 3 4 1		7 3 6 1		7 4 5 1		7 4 7 1		7 5 8 1		7 6 7 1		7 7 8 1		7 9 10 1		7 9 12 1		7 10 11 1		7 10 13 1		7 11 14 1		7 12 13 1		7 12 15 1		7 13 14 1		7 13 16 1		7 14 17 1		7 15 16 1		7 16 17 1		7 1 0 1		7 3 0 1		7 2 1 1		7 4 1 1		7 5 2 1		7 4 3 1		7 6 3 1		7 5 4 1		7 7 4 1		7 8 5 1		7 7 6 1		7 8 7 1		7 10 9 1		7 12 9 1		7 11 10 1		7 13 10 1		7 14 11 1		7 13 12 1		7 15 12 1		7 14 13 1		7 16 13 1		7 17 14 1		7 16 15 1		7 17 16 1		7 6 9 1		7 11 8 1		
8 0 1 1		8 0 3 1		8 1 2 1		8 1 4 1		8 2 5 1		8 3 4 1		8 3 6 1		8 4 5 1		8 4 7 1		8 5 8 1		8 6 7 1		8 7 8 1		8 9 10 1		8 9 12 1		8 10 11 1		8 10 13 1		8 11 14 1		8 12 13 1		8 12 15 1		8 13 14 1		8 13 16 1		8 14 17 1		8 15 16 1		8 16 17 1		8 1 0 1		8 3 0 1		8 2 1 1		8 4 1 1		8 5 2 1		8 4 3 1		8 6 3 1		8 5 4 1		8 7 4 1		8 8 5 1		8 7 6 1		8 8 7 1		8 10 9 1		8 12 9 1		8 11 10 1		8 13 10 1		8 14 11 1		8 13 12 1		8 15 12 1		8 14 13 1		8 16 13 1		8 17 14 1		8 16 15 1		8 17 16 1		8 6 9 1		8 11 8 1		
9 0 1 1		9 0 3 1		9 1 2 1		9 1 4 1		9 2 5 1		9 3 4 1		9 3 6 1		9 4 5 1		9 4 7 1		9 5 8 1		9 6 7 1		9 7 8 1		9 9 10 1		9 9 12 1		9 10 11 1		9 10 13 1		9 11 14 1		9 12 13 1		9 12 15 1		9 13 14 1		9 13 16 1		9 14 17 1		9 15 16 1		9 16 17 1		9 1 0 1		9 3 0 1		9 2 1 1		9 4 1 1		9 5 2 1		9 4 3 1		9 6 3 1		9 5 4 1		9 7 4 1		9 8 5 1		9 7 6 1		9 8 7 1		9 10 9 1		9 12 9 1		9 11 10 1		9 13 10 1		9 14 11 1		9 13 12 1		9 15 12 1		9 14 13 1		9 16 13 1		9 17 14 1		9 16 15 1		9 17 16 1		9 6 9 1		9 11 8 1		
