instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed
metroplex11nDr1nDe0,2.105263,0.510218,0.051879,0.562097,60565,2393,6420,6420
metroplex10nDr1nDe1,2.040100,0.625084,0.060714,0.685798,56899,2531,6778,6778
metroplex10nDr0nDe2,4.944836,0.415484,0.041088,0.456572,49389,2195,6034,6034
metroplex12nDr1nDe0,2.052632,1.016277,0.066372,1.082649,107850,3113,8832,8832
metroplex0nDr1nDe1,3.832080,0.973272,0.141525,1.114797,91550,3125,8653,8653
metroplex10nDr1nDe0,2.421053,0.849725,0.133050,0.982775,107112,3780,11144,11144
metroplex13nDr1nDe0,2.210526,0.169646,0.018500,0.188146,20520,972,2136,2136
metroplex13nDr0nDe1,11.055138,0.711626,0.085779,0.797405,50193,1822,4812,4812
metroplex11nDr1nDe1,13.180155,1.072968,0.233417,1.306385,106670,3519,9838,9838
metroplex12nDr0nDe1,7.225564,1.838255,0.134133,1.972388,124735,3550,10070,10070
metroplex11nDr0nDe1,9.644110,1.384224,0.265945,1.650169,128876,3947,11507,11507
metroplex0nDr1nDe0,2.052632,1.768777,0.285321,2.054098,207564,5387,16711,16711
metroplex14nDr0nDe2,5.393484,0.331005,0.036660,0.367665,35671,1952,5305,5305
metroplex0nDr0nDe1,3.298246,2.192907,0.369419,2.562326,222237,5702,17894,17894
grid11nDr1nDe1,3.626566,0.558250,0.047813,0.606063,65925,3241,5726,5726
grid11nDr1nDe0,3.210526,0.832853,0.049331,0.882184,74144,3572,6349,6349
metroplex13nDr0nDe2,12.100251,1.074146,0.171926,1.246072,102289,3259,9326,9326
metroplex13nDr1nDe1,3.413534,1.213041,0.173487,1.386528,118025,3733,11066,11066
grid10nDr1nDe1,3.172932,0.674590,0.120529,0.795119,78864,3829,6853,6853
metroplex12nDr0nDe2,14.837093,2.444733,0.841036,3.285769,181810,4741,14696,14696
grid10nDr0nDe3,3.922306,0.700240,0.056747,0.756987,62816,3158,5533,5533
metroplex14nDr1nDe1,7.709273,0.896250,0.118939,1.015189,59991,2788,8114,8114
grid12nDr1nDe0,2.210526,1.420567,0.133898,1.554465,133862,5694,10692,10692
grid12nDr0nDe1,3.288221,1.939850,0.374483,2.314333,181771,7538,14707,14707
airport0nDr0nDe1,1.075188,0.176026,0.075814,0.251840,15944,2189,6945,6945
airport0nDr1nDe0,0.894737,0.155605,0.038340,0.193945,13978,1891,5760,5760
grid10nDr1nDe0,2.263158,2.442173,0.301015,2.743188,195047,7747,15169,15169
airport12nDr1nDe1,1.411028,0.214693,0.076300,0.290993,16456,2451,8576,8576
grid11nDr0nDe3,5.964912,1.795107,0.181194,1.976301,111275,4989,9165,9165
metroplex13nDr0nDe3,5.556391,2.011535,0.374858,2.386393,153180,4558,13914,13914
grid0nDr1nDe1,5.694236,2.147241,0.356760,2.504001,183500,6943,13483,13483
metroplex12nDr0nDe3,10.892231,2.000282,0.243835,2.244117,124747,3558,10082,10082
grid12nDr1nDe1,2.649123,2.119650,0.274665,2.394315,168955,7191,13929,13929
airport11nDr1nDe1,0.937343,0.445642,0.144129,0.589771,29270,3336,11319,11319
airport11nDr0nDe3,1.699248,0.317454,0.161406,0.478860,29282,3344,11333,11333
airport11nDr1nDe0,0.526316,0.390678,0.219997,0.610675,34468,3715,12625,12625
airport0nDr1nDe1,0.822055,0.489856,0.209115,0.698971,31656,3580,12069,12069
grid13nDr0nDe1,5.932331,1.616451,0.174083,1.790534,97642,4462,8231,8231
metroplex12nDr1nDe1,2.869674,4.403997,1.030438,5.434435,413159,9411,33481,33481
