instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed
airport0nDr1nDe0,0.894737,0.105556,0.034100,0.139656,2788,1891,4238,4238
airport12nDr1nDe1,1.411028,0.123721,0.044322,0.168043,3848,2451,6098,6098
airport0nDr0nDe1,1.075188,0.233352,0.032279,0.265631,3288,2189,5067,5067
airport11nDr1nDe0,0.526316,0.260124,0.075509,0.335633,5884,3715,9127,9127
airport11nDr1nDe1,0.937343,0.391580,0.060575,0.452155,5246,3336,8163,8163
airport10nDr1nDe0,0.789474,0.513609,0.115677,0.629286,5740,3669,8849,8849
airport0nDr1nDe1,0.822055,0.441737,0.088343,0.530080,5620,3580,8737,8737
airport13nDr0nDe1,1.305764,0.211177,0.034691,0.245868,2846,1927,4310,4310
airport10nDr1nDe1,3.699248,0.306902,0.112740,0.419642,6126,3881,9451,9451
airport13nDr1nDe0,0.631579,0.009044,0.010470,0.019514,278,243,333,333
airport11nDr0nDe3,1.699248,0.444351,0.091659,0.536010,5258,3344,8177,8177
airport12nDr1nDe0,1.631579,0.362646,0.110207,0.472853,7874,4834,12563,12563
airport12nDr0nDe1,0.884712,0.667213,0.175181,0.842394,8732,5361,13885,13885
airport13nDr1nDe1,1.411028,0.243586,0.062763,0.306349,5392,3430,8419,8419
airport14nDr0nDe2,1.518797,0.177992,0.040625,0.218617,3754,2447,5863,5863
airport11nDr0nDe1,1.295739,0.673517,0.204689,0.878206,11220,6702,17877,17877
airport12nDr0nDe2,1.471178,0.522571,0.199466,0.722037,9898,6004,15845,15845
airport13nDr0nDe2,3.832080,0.538621,0.127534,0.666155,5904,3743,9194,9194
airport12nDr0nDe3,2.157895,0.571973,0.169085,0.741058,10748,6475,17278,17278
airport11nDr0nDe2,1.032581,0.861705,0.146593,1.008298,10840,6490,17301,17301
airport10nDr0nDe3,2.573935,0.704592,0.188902,0.893494,12190,7290,19373,19373
airport0nDr0nDe2,1.433584,0.981088,0.167662,1.148750,12034,7176,19229,19229
airport0nDr0nDe3,1.300752,0.783925,0.315748,1.099673,13326,7988,21214,21214
airport10nDr0nDe1,1.295739,1.177653,0.322237,1.499890,12582,7510,19966,19966
airport10nDr0nDe2,1.115288,0.808007,0.326576,1.134583,13432,8064,21268,21268
airport17nDr0nDe1,1.200501,0.162561,0.053723,0.216284,2898,1960,4362,4362
airport17nDr0nDe3,3.822055,0.161498,0.031853,0.193351,2910,1968,4374,4374
airport17nDr1nDe0,1.052632,0.096953,0.032287,0.129240,2052,1446,2985,2985
airport18nDr0nDe1,1.548872,0.121284,0.028602,0.149886,2626,1820,3897,3897
airport17nDr0nDe2,1.476190,0.319460,0.156962,0.476422,6022,3824,9322,9322
airport16nDr0nDe2,1.972431,0.464085,0.174900,0.638985,8908,5464,13990,13990
airport14nDr1nDe0,1.263158,1.435595,0.231577,1.667172,16098,9311,26386,26386
airport16nDr1nDe0,1.000000,0.671547,0.178909,0.850456,11052,6656,17434,17434
airport18nDr1nDe0,1.157895,0.054490,0.015208,0.069698,992,738,1389,1389
airport14nDr1nDe1,1.348371,0.825739,0.270109,1.095848,16148,9356,26452,26452
airport16nDr0nDe3,1.909774,0.664222,0.143099,0.807321,8212,5085,12830,12830
airport15nDr1nDe0,0.052632,0.788308,0.450930,1.239238,14078,8301,22699,22699
airport15nDr0nDe1,0.476190,0.813541,0.513815,1.327356,14164,8373,22809,22809
airport15nDr1nDe1,2.596491,0.874949,0.201147,1.076096,12678,7427,20596,20596
airport19nDr1nDe0,1.421053,0.071228,0.022821,0.094049,1818,1277,2680,2680
airport16nDr1nDe1,10.192982,0.351802,0.383815,0.735617,6092,3882,9381,9381
airport1nDr1nDe0,1.052632,0.051437,0.015711,0.067148,828,626,1146,1146
airport16nDr0nDe1,0.285714,0.673982,0.347183,1.021165,12152,7350,19076,19076
airport18nDr0nDe3,5.583960,0.382485,0.060456,0.442941,5140,3334,7874,7874
