instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed
metroplex11nDr1nDe0,2.105263,0.306476,0.068276,0.374752,3340,3330,10344,10344
metroplex10nDr1nDe1,2.040100,0.289932,0.094046,0.383978,3510,3488,10848,10848
metroplex0nDr1nDe1,3.832080,0.454821,0.087034,0.541855,4452,4422,13961,13961
metroplex12nDr1nDe0,2.052632,0.589518,0.083738,0.673256,4510,4484,14106,14106
metroplex10nDr1nDe0,2.421053,0.547004,0.131932,0.678936,5532,5494,18388,18388
metroplex10nDr0nDe2,4.944836,0.254049,0.059056,0.313105,3084,3080,9766,9766
metroplex13nDr1nDe0,2.210526,0.111566,0.030912,0.142478,1242,1242,3220,3220
metroplex11nDr1nDe1,13.180155,0.535620,0.251514,0.787134,5050,5014,16052,16052
metroplex13nDr0nDe1,11.055138,0.253022,0.062724,0.315746,2538,2526,7644,7644
metroplex0nDr1nDe0,2.052632,1.005504,0.225628,1.231132,8176,8118,27873,27873
metroplex12nDr0nDe1,7.225564,0.612251,0.172887,0.785138,5152,5108,16126,16126
metroplex14nDr0nDe2,5.393484,0.198259,0.058700,0.256959,2712,2708,8567,8567
metroplex13nDr1nDe1,3.413534,0.600758,0.153894,0.754652,5528,5486,18228,18228
metroplex14nDr1nDe1,7.709273,0.321143,0.088316,0.409459,4026,4014,13314,13314
metroplex12nDr0nDe2,14.837093,0.861191,0.459570,1.320761,7220,7158,23942,23942
metroplex0nDr0nDe1,3.298246,1.099995,0.318408,1.418403,8710,8648,29902,29902
metroplex13nDr0nDe2,12.100251,0.518149,0.134018,0.652167,4750,4714,15204,15204
metroplex11nDr0nDe1,9.644110,0.673405,0.264915,0.938320,5786,5746,18981,18981
metroplex12nDr1nDe1,2.869674,2.092237,0.775290,2.867527,15394,15284,56253,56253
metroplex13nDr0nDe3,5.556391,0.747220,0.244939,0.992159,6852,6794,23218,23218
metroplex0nDr0nDe2,11.558897,1.442957,0.812422,2.255379,10364,10282,36289,36289
metroplex14nDr0nDe3,7.859649,0.807915,0.500892,1.308807,8820,8760,31241,31241
metroplex12nDr0nDe3,10.892231,0.612333,0.160894,0.773227,5164,5116,16138,16138
metroplex14nDr1nDe0,1.947368,2.215058,1.167295,3.382353,17268,17148,64204,64204
metroplex16nDr1nDe1,2.213033,0.943940,0.227485,1.171425,7936,7876,26900,26900
metroplex11nDr0nDe2,11.015038,1.995324,1.365124,3.360448,15476,15372,57804,57804
metroplex16nDr1nDe0,2.210526,1.422258,0.555940,1.978198,11454,11362,40829,40829
metroplex14nDr0nDe1,1.631579,2.418105,1.784294,4.202399,18834,18674,69799,69799
metroplex17nDr0nDe1,2.904762,1.021766,0.373707,1.395473,9844,9784,35592,35592
metroplex17nDr1nDe1,2.553885,0.292241,0.080380,0.372621,3516,3498,11354,11354
metroplex17nDr1nDe0,2.157895,0.954701,0.257501,1.212202,9256,9202,33161,33161
metroplex17nDr0nDe3,10.729323,0.204740,0.059639,0.264379,2740,2724,8522,8522
metroplex15nDr1nDe0,1.421053,2.986633,1.499571,4.486204,19096,18944,69855,69855
metroplex17nDr0nDe2,4.421053,0.606789,0.124951,0.731740,5734,5704,19729,19729
metroplex18nDr1nDe0,2.578947,0.893117,0.255051,1.148168,7686,7636,26058,26058
metroplex11nDr0nDe3,13.110276,1.937297,0.940330,2.877627,15482,15376,57810,57810
