param nf:= 50 ;
param nn:= 50 ;
param: E: d:=
 0 1 10
 0 5 10
 1 2 10
 1 6 10
 2 3 10
 2 7 10
 3 4 10
 3 8 10
 4 9 10
 5 6 10
 5 10 10
 6 7 10
 6 11 10
 7 8 10
 7 12 10
 8 9 10
 8 13 10
 9 14 10
 10 11 10
 10 15 10
 11 12 10
 11 16 10
 12 13 10
 12 17 10
 13 14 10
 13 18 10
 14 19 10
 15 16 10
 15 20 10
 16 17 10
 16 21 10
 17 18 10
 17 22 10
 18 19 10
 18 23 10
 19 24 10
 20 21 10
 21 22 10
 22 23 10
 23 24 10
 25 26 10
 25 30 10
 26 27 10
 26 31 10
 27 28 10
 27 32 10
 28 29 10
 28 33 10
 29 34 10
 30 31 10
 30 35 10
 31 32 10
 31 36 10
 32 33 10
 32 37 10
 33 34 10
 33 38 10
 34 39 10
 35 36 10
 35 40 10
 36 37 10
 36 41 10
 37 38 10
 37 42 10
 38 39 10
 38 43 10
 39 44 10
 40 41 10
 40 45 10
 41 42 10
 41 46 10
 42 43 10
 42 47 10
 43 44 10
 43 48 10
 44 49 10
 45 46 10
 46 47 10
 47 48 10
 48 49 10
 1 0 10
 5 0 10
 2 1 10
 6 1 10
 3 2 10
 7 2 10
 4 3 10
 8 3 10
 9 4 10
 6 5 10
 10 5 10
 7 6 10
 11 6 10
 8 7 10
 12 7 10
 9 8 10
 13 8 10
 14 9 10
 11 10 10
 15 10 10
 12 11 10
 16 11 10
 13 12 10
 17 12 10
 14 13 10
 18 13 10
 19 14 10
 16 15 10
 20 15 10
 17 16 10
 21 16 10
 18 17 10
 22 17 10
 19 18 10
 23 18 10
 24 19 10
 21 20 10
 22 21 10
 23 22 10
 24 23 10
 26 25 10
 30 25 10
 27 26 10
 31 26 10
 28 27 10
 32 27 10
 29 28 10
 33 28 10
 34 29 10
 31 30 10
 35 30 10
 32 31 10
 36 31 10
 33 32 10
 37 32 10
 34 33 10
 38 33 10
 39 34 10
 36 35 10
 40 35 10
 37 36 10
 41 36 10
 38 37 10
 42 37 10
 39 38 10
 43 38 10
 44 39 10
 41 40 10
 45 40 10
 42 41 10
 46 41 10
 43 42 10
 47 42 10
 44 43 10
 48 43 10
 49 44 10
 46 45 10
 47 46 10
 48 47 10
 49 48 10
 20 25 10
 29 24 10;
param s:=
0 20
1 25
2 3
3 34
4 23
5 3
6 13
7 5
8 26
9 15
10 35
11 3
12 7
13 40
14 3
15 37
16 3
17 2
18 8
19 26
20 34
21 36
22 35
23 11
24 37
25 40
26 23
27 35
28 4
29 3
30 13
31 43
32 27
33 20
34 37
35 23
36 15
37 44
38 15
39 36
40 33
41 21
42 28
43 38
44 7
45 26
46 48
47 9
48 26
49 42 ;
param e:=
0 9
1 41
2 4
3 6
4 37
5 32
6 2
7 27
8 4
9 5
10 27
11 36
12 14
13 37
14 36
15 25
16 14
17 35
18 18
19 9
20 7
21 19
22 43
23 6
24 36
25 12
26 6
27 45
28 36
29 39
30 31
31 34
32 49
33 29
34 29
35 19
36 11
37 49
38 5
39 19
40 31
41 46
42 18
43 4
44 32
45 10
46 21
47 31
48 2
49 4 ;
param v_min:=
0 0 1 1		0 0 5 1		0 1 2 1		0 1 6 1		0 2 3 1		0 2 7 1		0 3 4 1		0 3 8 1		0 4 9 1		0 5 6 1		0 5 10 1		0 6 7 1		0 6 11 1		0 7 8 1		0 7 12 1		0 8 9 1		0 8 13 1		0 9 14 1		0 10 11 1		0 10 15 1		0 11 12 1		0 11 16 1		0 12 13 1		0 12 17 1		0 13 14 1		0 13 18 1		0 14 19 1		0 15 16 1		0 15 20 1		0 16 17 1		0 16 21 1		0 17 18 1		0 17 22 1		0 18 19 1		0 18 23 1		0 19 24 1		0 20 21 1		0 21 22 1		0 22 23 1		0 23 24 1		0 25 26 1		0 25 30 1		0 26 27 1		0 26 31 1		0 27 28 1		0 27 32 1		0 28 29 1		0 28 33 1		0 29 34 1		0 30 31 1		0 30 35 1		0 31 32 1		0 31 36 1		0 32 33 1		0 32 37 1		0 33 34 1		0 33 38 1		0 34 39 1		0 35 36 1		0 35 40 1		0 36 37 1		0 36 41 1		0 37 38 1		0 37 42 1		0 38 39 1		0 38 43 1		0 39 44 1		0 40 41 1		0 40 45 1		0 41 42 1		0 41 46 1		0 42 43 1		0 42 47 1		0 43 44 1		0 43 48 1		0 44 49 1		0 45 46 1		0 46 47 1		0 47 48 1		0 48 49 1		0 1 0 1		0 5 0 1		0 2 1 1		0 6 1 1		0 3 2 1		0 7 2 1		0 4 3 1		0 8 3 1		0 9 4 1		0 6 5 1		0 10 5 1		0 7 6 1		0 11 6 1		0 8 7 1		0 12 7 1		0 9 8 1		0 13 8 1		0 14 9 1		0 11 10 1		0 15 10 1		0 12 11 1		0 16 11 1		0 13 12 1		0 17 12 1		0 14 13 1		0 18 13 1		0 19 14 1		0 16 15 1		0 20 15 1		0 17 16 1		0 21 16 1		0 18 17 1		0 22 17 1		0 19 18 1		0 23 18 1		0 24 19 1		0 21 20 1		0 22 21 1		0 23 22 1		0 24 23 1		0 26 25 1		0 30 25 1		0 27 26 1		0 31 26 1		0 28 27 1		0 32 27 1		0 29 28 1		0 33 28 1		0 34 29 1		0 31 30 1		0 35 30 1		0 32 31 1		0 36 31 1		0 33 32 1		0 37 32 1		0 34 33 1		0 38 33 1		0 39 34 1		0 36 35 1		0 40 35 1		0 37 36 1		0 41 36 1		0 38 37 1		0 42 37 1		0 39 38 1		0 43 38 1		0 44 39 1		0 41 40 1		0 45 40 1		0 42 41 1		0 46 41 1		0 43 42 1		0 47 42 1		0 44 43 1		0 48 43 1		0 49 44 1		0 46 45 1		0 47 46 1		0 48 47 1		0 49 48 1		0 20 25 1		0 29 24 1		
1 0 1 1		1 0 5 1		1 1 2 1		1 1 6 1		1 2 3 1		1 2 7 1		1 3 4 1		1 3 8 1		1 4 9 1		1 5 6 1		1 5 10 1		1 6 7 1		1 6 11 1		1 7 8 1		1 7 12 1		1 8 9 1		1 8 13 1		1 9 14 1		1 10 11 1		1 10 15 1		1 11 12 1		1 11 16 1		1 12 13 1		1 12 17 1		1 13 14 1		1 13 18 1		1 14 19 1		1 15 16 1		1 15 20 1		1 16 17 1		1 16 21 1		1 17 18 1		1 17 22 1		1 18 19 1		1 18 23 1		1 19 24 1		1 20 21 1		1 21 22 1		1 22 23 1		1 23 24 1		1 25 26 1		1 25 30 1		1 26 27 1		1 26 31 1		1 27 28 1		1 27 32 1		1 28 29 1		1 28 33 1		1 29 34 1		1 30 31 1		1 30 35 1		1 31 32 1		1 31 36 1		1 32 33 1		1 32 37 1		1 33 34 1		1 33 38 1		1 34 39 1		1 35 36 1		1 35 40 1		1 36 37 1		1 36 41 1		1 37 38 1		1 37 42 1		1 38 39 1		1 38 43 1		1 39 44 1		1 40 41 1		1 40 45 1		1 41 42 1		1 41 46 1		1 42 43 1		1 42 47 1		1 43 44 1		1 43 48 1		1 44 49 1		1 45 46 1		1 46 47 1		1 47 48 1		1 48 49 1		1 1 0 1		1 5 0 1		1 2 1 1		1 6 1 1		1 3 2 1		1 7 2 1		1 4 3 1		1 8 3 1		1 9 4 1		1 6 5 1		1 10 5 1		1 7 6 1		1 11 6 1		1 8 7 1		1 12 7 1		1 9 8 1		1 13 8 1		1 14 9 1		1 11 10 1		1 15 10 1		1 12 11 1		1 16 11 1		1 13 12 1		1 17 12 1		1 14 13 1		1 18 13 1		1 19 14 1		1 16 15 1		1 20 15 1		1 17 16 1		1 21 16 1		1 18 17 1		1 22 17 1		1 19 18 1		1 23 18 1		1 24 19 1		1 21 20 1		1 22 21 1		1 23 22 1		1 24 23 1		1 26 25 1		1 30 25 1		1 27 26 1		1 31 26 1		1 28 27 1		1 32 27 1		1 29 28 1		1 33 28 1		1 34 29 1		1 31 30 1		1 35 30 1		1 32 31 1		1 36 31 1		1 33 32 1		1 37 32 1		1 34 33 1		1 38 33 1		1 39 34 1		1 36 35 1		1 40 35 1		1 37 36 1		1 41 36 1		1 38 37 1		1 42 37 1		1 39 38 1		1 43 38 1		1 44 39 1		1 41 40 1		1 45 40 1		1 42 41 1		1 46 41 1		1 43 42 1		1 47 42 1		1 44 43 1		1 48 43 1		1 49 44 1		1 46 45 1		1 47 46 1		1 48 47 1		1 49 48 1		1 20 25 1		1 29 24 1		
