param nf:= 50 ;
param nn:= 25 ;
param: E: d:=
 0 24 10
 0 1 10
 1 24 10
 1 2 10
 2 24 10
 2 3 10
 3 24 10
 3 4 10
 4 24 10
 4 5 10
 5 24 10
 5 6 10
 6 24 10
 6 7 10
 7 24 10
 7 8 10
 8 24 10
 8 9 10
 9 24 10
 9 10 10
 10 24 10
 10 11 10
 11 24 10
 11 12 10
 12 24 10
 12 13 10
 13 24 10
 13 14 10
 14 24 10
 14 15 10
 15 24 10
 15 16 10
 16 24 10
 16 17 10
 17 24 10
 17 18 10
 18 24 10
 18 19 10
 19 24 10
 19 20 10
 20 24 10
 20 21 10
 21 24 10
 21 22 10
 22 24 10
 22 23 10
 23 24 10
 23 0 10
 24 0 10
 1 0 10
 24 1 10
 2 1 10
 24 2 10
 3 2 10
 24 3 10
 4 3 10
 24 4 10
 5 4 10
 24 5 10
 6 5 10
 24 6 10
 7 6 10
 24 7 10
 8 7 10
 24 8 10
 9 8 10
 24 9 10
 10 9 10
 24 10 10
 11 10 10
 24 11 10
 12 11 10
 24 12 10
 13 12 10
 24 13 10
 14 13 10
 24 14 10
 15 14 10
 24 15 10
 16 15 10
 24 16 10
 17 16 10
 24 17 10
 18 17 10
 24 18 10
 19 18 10
 24 19 10
 20 19 10
 24 20 10
 21 20 10
 24 21 10
 22 21 10
 24 22 10
 23 22 10
 24 23 10
 0 23 10;
param s:=
0 3
1 22
2 20
3 7
4 23
5 9
6 2
7 14
8 14
9 12
10 3
11 7
12 11
13 11
14 20
15 4
16 17
17 21
18 5
19 20
20 3
21 10
22 2
23 6
24 12
25 14
26 3
27 21
28 18
29 20
30 5
31 23
32 16
33 6
34 14
35 6
36 9
37 8
38 3
39 8
40 0
41 23
42 3
43 16
44 2
45 15
46 5
47 12
48 9
49 14 ;
param e:=
0 19
1 24
2 16
3 8
4 8
5 23
6 21
7 9
8 21
9 24
10 8
11 10
12 8
13 20
14 16
15 5
16 21
17 8
18 0
19 2
20 19
21 0
22 8
23 12
24 18
25 19
26 20
27 3
28 20
29 11
30 3
31 15
32 21
33 8
34 19
35 15
36 16
37 3
38 2
39 3
40 5
41 13
42 21
43 18
44 13
45 21
46 17
47 14
48 15
49 13 ;
param v_min:=
